from,to,weight
N516,N518,50.01
N518,N519,50.01
N519,N520,50.01
N520,N521,50.0
N521,N522,50.01
N522,N523,50.01
N523,N524,50.01
N524,N517,50.01
N517,N526,50.0
N526,N527,50.0
N527,N528,50.01
N528,N529,50.0
N529,N530,50.0
N530,N531,50.0
N531,N532,50.0
N532,N533,50.0
N533,N534,50.01
N534,N535,50.0
N535,N536,50.0
N536,N537,50.0
N537,N538,50.0
N538,N539,50.0
N539,N540,50.01
N540,N541,50.0
N541,N525,75.0
N525,N543,50.0
N543,N544,50.0
N544,N545,50.0
N545,N546,50.0
N546,N547,50.0
N547,N548,50.0
N548,N549,50.0
N549,N550,50.0
N550,N542,68.0
N552,N553,50.01
N553,N554,50.0
N554,N555,50.01
N555,N556,50.01
N556,N557,50.01
N557,N551,51.01
N558,N559,50.0
N559,N560,50.0
N530,N172,40.262
N172,N561,50.0
N561,N562,50.01
N562,N563,50.0
N563,N564,50.01
N564,N565,50.0
N565,N566,50.0
N566,N173,65.008
N567,N568,50.04
N568,N185,66.068
N522,N178,49.193
N178,N570,49.82
N570,N569,60.828
N569,N572,50.0
N572,N573,50.01
N573,N574,50.0
N574,N575,50.01
N575,N576,50.0
N576,N571,81.006
N165,N550,1.107
N165,N542,1.485
N165,N549,1.693
N166,N550,1.07
N166,N542,1.4
N166,N549,1.704
N167,N169,0.862
N167,N547,1.028
N167,N548,1.256
N168,N170,0.86
N168,N547,0.957
N168,N567,1.065
N169,N546,1.126
N169,N547,1.228
N170,N546,0.993
N170,N547,1.16
N171,N172,0.742
N171,N531,0.842
N171,N552,1.164
N172,N530,0.805
N172,N561,1.0
N173,N174,0.444
N173,N551,0.882
N173,N558,1.122
N174,N551,0.44
N174,N557,1.103
N175,N556,0.431
N175,N557,0.626
N175,N566,0.796
N176,N523,1.166
N176,N524,1.234
N176,N526,1.565
N177,N516,0.922
N177,N560,1.082
N177,N518,1.329
N178,N522,0.984
N178,N570,0.996
N178,N523,1.026
N179,N517,0.936
N179,N524,1.128
N179,N526,1.907
N180,N571,0.563
N180,N576,1.765
N180,N575,2.734
N181,N182,0.62
N181,N539,1.142
N181,N540,1.462
N182,N538,1.222
N182,N539,1.27
N183,N529,1.177
N183,N530,1.409
N183,N528,1.669
N184,N527,1.259
N184,N528,1.288
N184,N183,1.76
N185,N568,1.321
N185,N567,2.322
N185,N168,3.38
N516,N518,1.0
N516,N560,2.0
N517,N526,1.0
N517,N524,1.0
N518,N519,1.0
N519,N520,1.0
N519,N521,2.0
N520,N521,1.0
N520,N522,2.0
N521,N522,1.0
N521,N178,1.698
N522,N523,1.0
N523,N524,1.0
N525,N543,1.0
N525,N541,1.5
N525,N544,2.0
N526,N527,1.0
N526,N524,1.4
N527,N528,1.0
N528,N529,1.0
N529,N530,1.0
N530,N531,1.0
N531,N532,1.0
N532,N533,1.0
N532,N171,1.352
N533,N534,1.0
N533,N531,2.0
N534,N535,1.0
N534,N536,2.0
N535,N536,1.0
N535,N537,2.0
N536,N537,1.0
N537,N538,1.0
N537,N182,1.837
N538,N539,1.0
N539,N540,1.0
N540,N541,1.0
N541,N543,1.803
N542,N550,1.36
N543,N544,1.0
N544,N545,1.0
N545,N546,1.0
N545,N170,1.62
N546,N547,1.0
N547,N548,1.0
N548,N549,1.0
N548,N168,1.247
N549,N550,1.0
N551,N557,1.02
N552,N561,0.868
N552,N553,1.0
N552,N562,1.132
N553,N562,0.868
N553,N554,1.0
N554,N563,0.868
N554,N555,1.0
N555,N564,0.868
N555,N556,1.0
N556,N565,0.888
N557,N566,0.907
N557,N556,1.0
N558,N559,1.0
N558,N174,1.56
N559,N560,1.0
N559,N177,2.081
N561,N562,1.0
N562,N563,1.0
N563,N564,1.0
N564,N565,1.0
N565,N175,0.935
N566,N565,1.0
N567,N568,1.001
N567,N170,1.304
N568,N168,2.061
N569,N572,1.0
N569,N570,1.217
N569,N573,2.0
N570,N572,1.697
N571,N576,1.62
N571,N575,2.62
N572,N573,1.0
N573,N574,1.0
N574,N575,1.0
N574,N572,2.0
N575,N576,1.0
N575,N573,2.0
